"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"231";28,285;29;28,07;28,975;3061900;50,6;50,6;49,305;50,11;392700;6740,609863;6833,700195;6701,97998;6823,799805;37293500
"232";29;30,2;28,92;30,15;4061400;50,2;51,78;50,2;51,67;312500;6834,680176;6885,810059;6823,189941;6879,660156;26295500
"233";29,9;30,805;29,795;30,7;4382000;51,49;51,49;50,51;50,85;296000;6842,390137;6871,709961;6778,600098;6848,97998;31534500
"234";30,88;31,2;29,455;29,56;4358600;50,89;51,61;49,71;49,985;344600;6867,77002;6907,609863;6697,970215;6697,970215;38812100
"235";29,76;29,925;28,91;29,42;4143600;50,3;50,36;49,05;49,565;332800;6732,589844;6763,52002;6655,939941;6688,490234;40637400
"236";29,705;30,375;29,615;30,375;2966200;50,3;51,31;50,07;50,93;341200;6748,359863;6868,810059;6736,689941;6866,629883;39402600
"237";30,435;30,5;29,83;30,24;3533400;51,41;51,59;50,51;51,45;304600;6895,77002;6958,689941;6840,649902;6957,609863;42149200
"238";30,2;30,58;30,07;30,07;3272100;51,61;52,84;51,24;52,63;404000;6947,310059;6977,910156;6914,5;6947,720215;33961600
"239";30,28;31,04;30,27;31,04;3540000;53;53,87;52,88;53,65;382600;6970,240234;6971,950195;6926,569824;6954,379883;26083600
"240";31;31,835;31;31,57;3009400;54,05;54,31;53,8;53,96;496900;6987,879883;7042,669922;6962,100098;7001,910156;33585700
